City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Limon,CR,82.29,clear sky,10.0,-83.0333,Hotel Playa Bonita
469,Benguela,AO,82.27,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
470,Sulangan,PH,81.68,scattered clouds,11.1373,123.7228,Maia's Beach Resort
472,Waingapu,ID,79.66,few clouds,-9.6567,120.2641,Pondok Wisata Elim
474,Auki,SB,77.32,few clouds,-8.7676,160.7034,Auki Motel
477,Faya,SA,78.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
478,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
479,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
484,Soyo,AO,81.75,overcast clouds,-6.1349,12.3689,Hotel Mpampa
489,Ixtapa,MX,79.21,overcast clouds,20.7,-105.2,hotel la terminal
492,Lagunas,PE,85.15,broken clouds,-5.2269,-75.6753,Hospedaje Eco
493,Oia,PT,75.81,broken clouds,40.5426,-8.5386,Hotel Estalagem da Pateira
497,Palu,ID,76.87,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
498,Eyl,SO,84.06,few clouds,7.9803,49.8164,Amiin Hotel
499,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
508,Marrakesh,MA,77.07,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
510,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
512,Nadapuram,IN,78.51,overcast clouds,11.7,75.6667,Fabina Garden
517,Giyani,ZA,88.03,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
520,Santa Rosa,PH,84.18,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
522,Ebebiyin,GQ,79.0,light rain,2.1511,11.3353,Vallée-du-Ntem
537,Puerto Escondido,MX,84.49,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
538,Kampot,KH,82.45,scattered clouds,10.6167,104.1833,Two Moons Hotel
544,Acarau,BR,84.15,overcast clouds,-2.8856,-40.12,castelo pizzaria
548,Matay,EG,83.32,clear sky,28.419,30.7792,Nag Aespen
550,Ikorodu,NG,89.56,broken clouds,6.6191,3.5041,Holis Resort
551,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
554,Lucapa,AO,78.44,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
556,Sao Caetano De Odivelas,BR,85.19,broken clouds,-0.75,-48.02,Hotel do Luttis
557,Grand Gaube,MU,80.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
558,Samarai,PG,82.51,overcast clouds,-10.6167,150.6667,Nuli Sapi
562,Kloulklubed,PW,83.07,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
565,Cozumel,MX,84.94,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
566,Barra Do Garcas,BR,88.38,few clouds,-15.89,-52.2567,Pousada Tropical
568,Upington,ZA,88.18,clear sky,-28.4478,21.2561,River Place Manor
569,Cairns,AU,76.95,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
571,Bang Saphan,TH,79.48,clear sky,11.2126,99.5117,Ladawan Boutique Hotel
572,Tual,ID,83.95,broken clouds,-5.6667,132.75,Grand Vilia Hotel
575,Sokoni,TZ,82.26,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
577,Manggar,ID,82.27,scattered clouds,-2.8833,108.2667,Guest Hotel
579,Port-Gentil,GA,82.33,light rain,-0.7193,8.7815,Fengshui Residence
583,Honiara,SB,77.05,few clouds,-9.4333,159.95,Heritage Park Hotel
584,Monrovia,LR,83.7,light rain,6.3005,-10.7969,Sunset Inn
585,Bowen,AU,75.09,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
593,Machaneng,BW,82.76,overcast clouds,-23.1862,27.4886,Matswelo Hotel
594,Tagbilaran,PH,80.53,overcast clouds,9.6475,123.8556,Olman's View Resort
595,Rurrenabaque,BO,75.09,overcast clouds,-14.4413,-67.5278,Casa de Campo
597,Townsville,AU,76.08,broken clouds,-19.25,146.8,Rydges Southbank Townsville
598,Dawlatabad,AF,80.06,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
600,Gizo,SB,82.38,broken clouds,-8.103,156.8419,Imagination Island
607,Muisne,EC,78.37,overcast clouds,0.6,-80.0333,Quinta Samay
609,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
611,Maues,BR,79.74,overcast clouds,-3.3836,-57.7186,Hotel Miramar
618,Teloloapan,MX,76.82,overcast clouds,18.35,-99.85,Hotel Las Palmas
620,Same,TZ,77.2,light rain,-4.0667,37.7333,Elephant Motel
622,Isangel,VU,78.89,broken clouds,-19.55,169.2667,Tanna Lodge
629,Beruwala,LK,81.68,scattered clouds,6.4788,79.9828,The Palms Hotel
637,Takoradi,GH,85.03,light rain,4.8845,-1.7554,Raybow International Hotel
639,Puerto Baquerizo Moreno,EC,77.99,few clouds,-0.9,-89.6,Hotel los Algarrobos
646,Tsabong,BW,84.67,clear sky,-26.0217,22.401,Springbok Motel
647,Ugoofaaru,MV,84.38,overcast clouds,5.6667,73.0,Ungoofaaru Inn
649,Oranjestad,AW,84.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
652,West Bay,KY,86.07,scattered clouds,19.3667,-81.4167,Calypso Cove
654,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
660,Holiday,US,81.14,clear sky,28.1878,-82.7395,Fairfield Inn & Suites by Marriott Holiday Tarpon Springs
664,Luwuk,ID,79.14,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
669,Bahir Dar,ET,80.37,overcast clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
676,Mazatan,MX,85.66,overcast clouds,14.8667,-92.45,Jose Luis Villalobos De La Cruz
679,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
680,Micoud,LC,84.18,scattered clouds,13.8167,-60.9,Zamacà
684,Boyolangu,ID,76.1,overcast clouds,-8.1181,111.8935,Yos ega cv
686,Sri Aman,MY,80.65,light rain,1.2376,111.4621,Seri Simanggang Hotel
695,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
696,Mumford,GH,84.67,scattered clouds,5.2618,-0.759,Spanish Villa
698,El Tigre,VE,87.17,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
702,Roma,US,77.14,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
705,Oneonta,US,75.81,broken clouds,42.4529,-75.0638,Hampton Inn Oneonta
710,Linz,AT,76.39,clear sky,48.3064,14.2861,Stadtoase Kolping Hotel
719,Mehran,IR,85.15,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
