City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sicamous,CA,4/11/22 15:10,50.8331,-118.9856,32.88,58,98,5.23
1,Castro,BR,4/11/22 15:12,-24.7911,-50.0119,77.05,56,59,6.71
2,Fare,PF,4/11/22 15:12,-16.7,-151.0167,80.31,76,9,13.29
3,Tocopilla,CL,4/11/22 15:12,-22.092,-70.1979,68.27,64,4,6.33
4,Tuktoyaktuk,CA,4/11/22 15:12,69.4541,-133.0374,-15.02,100,75,5.86
5,Ponta Do Sol,PT,4/11/22 15:12,32.6667,-17.1,67.01,63,100,14.99
6,Bosaso,SO,4/11/22 15:12,11.2842,49.1816,82.65,70,0,4.41
7,Apiai,BR,4/11/22 15:12,-24.5094,-48.8425,76.96,47,71,3
8,Rikitea,PF,4/11/22 15:12,-23.1203,-134.9692,78.91,73,2,19.39
9,Saint-Augustin,CA,4/11/22 15:12,51.226,-58.6502,35.44,92,84,19.19
10,Punta Arenas,CL,4/11/22 15:08,-53.15,-70.9167,46.51,87,75,16.11
11,Ancud,CL,4/11/22 15:12,-41.8697,-73.8203,52.23,85,100,8.08
12,Port Alfred,ZA,4/11/22 15:13,-33.5906,26.891,71.19,79,100,7
13,Clyde River,CA,4/11/22 15:13,70.4692,-68.5914,2.48,92,85,1.59
14,Albany,US,4/11/22 15:09,42.6001,-73.9662,49.03,47,0,3.49
15,Vanimo,PG,4/11/22 15:13,-2.6741,141.3028,78.66,89,22,7.9
16,Cartagena Del Chaira,CO,4/11/22 15:13,1.3349,-74.8429,80.96,76,97,1.23
17,Fortuna,US,4/11/22 15:13,40.5982,-124.1573,45.66,86,75,23.02
18,Hammerfest,NO,4/11/22 15:13,70.6634,23.6821,34.25,93,75,17.27
19,Barrow,US,4/11/22 15:13,71.2906,-156.7887,21.22,86,100,9.22
20,Tutoia,BR,4/11/22 15:13,-2.7619,-42.2744,81.14,87,95,6.51
21,Vardo,NO,4/11/22 15:13,70.3705,31.1107,37.38,81,75,11.5
22,Nanortalik,GL,4/11/22 15:13,60.1432,-45.2371,34.88,54,89,6.26
23,Busselton,AU,4/11/22 15:13,-33.65,115.3333,58.78,79,7,10.76
24,Necochea,AR,4/11/22 15:13,-38.5473,-58.7368,61,92,100,8.72
25,Aklavik,CA,4/11/22 15:13,68.2191,-135.0107,-11.58,96,46,2.21
26,Aguimes,ES,4/11/22 15:13,27.9054,-15.4461,68.63,53,75,17.27
27,Nikolskoye,RU,4/11/22 15:13,59.7035,30.7861,46.87,77,100,5.3
28,Meulaboh,ID,4/11/22 15:13,4.1363,96.1285,76.82,89,93,8.55
29,Narsaq,GL,4/11/22 15:13,60.9167,-46.05,43.02,39,48,8.84
30,Constantine,DZ,4/11/22 15:13,36.365,6.6147,80.01,25,0,12.66
31,Lebu,CL,4/11/22 15:13,-37.6167,-73.65,54.55,61,45,3.76
32,Namibe,AO,4/11/22 15:13,-15.1961,12.1522,75.7,70,4,9.51
33,Souillac,MU,4/11/22 15:13,-20.5167,57.5167,77.61,81,77,17.54
34,Ushuaia,AR,4/11/22 15:13,-54.8,-68.3,44.22,87,75,19.57
35,Santa Cruz De Tenerife,ES,4/11/22 15:13,28.4682,-16.2546,69.4,72,75,12.66
36,Vila Velha,BR,4/11/22 15:08,-20.3297,-40.2925,85.95,74,40,16.11
37,Jamestown,US,4/11/22 15:12,42.097,-79.2353,50.18,40,0,12.66
38,Pisco,PE,4/11/22 15:13,-13.7,-76.2167,73.45,60,0,14.97
39,Latung,PH,4/11/22 15:13,5.5,120.8833,82.27,76,100,10
40,Tasiilaq,GL,4/11/22 15:13,65.6145,-37.6368,26.76,67,53,3.8
41,Qaanaaq,GL,4/11/22 15:13,77.484,-69.3632,-2.22,73,54,4.45
42,Mataura,NZ,4/11/22 15:13,-46.1927,168.8643,50.49,99,100,3.06
43,Port Hawkesbury,CA,4/11/22 15:11,45.6169,-61.3485,41.92,95,100,13.8
44,Young,UY,4/11/22 15:13,-32.6833,-57.6333,75.54,72,61,8.75
45,Mopti,ML,4/11/22 15:14,14.6667,-4,106.93,5,56,1.81
46,Tiksi,RU,4/11/22 15:14,71.6872,128.8694,-11.76,99,50,8.08
47,Morrope,PE,4/11/22 15:14,-6.5417,-80.0111,69.91,70,91,11.12
48,Taltal,CL,4/11/22 15:09,-25.4,-70.4833,66,62,0,5.99
49,Gravelbourg,CA,4/11/22 15:14,49.8834,-106.5512,28.26,49,94,18.1
50,Warrensburg,US,4/11/22 15:10,38.7628,-93.7361,55.38,63,100,10.36
51,Atuona,PF,4/11/22 15:14,-9.8,-139.0333,78.87,78,23,17.45
52,Kodiak,US,4/11/22 15:14,57.79,-152.4072,26.11,68,0,3.44
53,Unhel,IN,4/11/22 15:14,23.3333,75.5667,92.75,20,100,8.16
54,Kapaa,US,4/11/22 15:14,22.0752,-159.319,71.92,97,75,10.36
55,Pangody,RU,4/11/22 15:14,65.85,74.4859,34,100,100,9.04
56,Isangel,VU,4/11/22 15:14,-19.55,169.2667,79.11,79,14,6.76
57,Novoselitskoye,RU,4/11/22 15:14,44.7508,43.4369,65.14,52,1,15.52
58,Ribeira Grande,PT,4/11/22 15:14,38.5167,-28.7,61.2,82,75,18.41
59,Cabedelo,BR,4/11/22 15:14,-6.9811,-34.8339,84.58,60,100,9.73
60,Zafra,ES,4/11/22 15:14,38.4167,-6.4167,53.67,86,99,15.68
61,Hilo,US,4/11/22 15:14,19.7297,-155.09,71.33,88,100,4.61
62,Sorland,NO,4/11/22 15:14,67.667,12.6934,40.21,78,18,13.76
63,Chuy,UY,4/11/22 15:14,-33.6971,-53.4616,72.18,81,98,11.45
64,Tahta,EG,4/11/22 15:14,26.7693,31.5021,91.47,11,0,21.45
65,Khatanga,RU,4/11/22 15:14,71.9667,102.5,-11.25,100,89,1.86
66,Cabo San Lucas,MX,4/11/22 15:14,22.8909,-109.9124,72.05,70,20,12.66
67,Komsomolskiy,UZ,4/11/22 15:14,40.4272,71.7189,77.31,21,88,5.35
68,Bengkulu,ID,4/11/22 15:14,-3.8004,102.2655,78.15,82,12,3.22
69,Henties Bay,NA,4/11/22 15:14,-22.116,14.2845,68.67,66,1,10.56
70,Puerto Ayora,EC,4/11/22 15:13,-0.7393,-90.3518,84.16,91,100,4
71,Kasongo,CD,4/11/22 15:14,-4.45,26.6667,76.55,83,100,4.12
72,Kruisfontein,ZA,4/11/22 15:14,-34.0033,24.7314,73.89,64,45,16.46
73,Hobart,AU,4/11/22 15:14,-42.8794,147.3294,49.86,78,75,12.66
74,Butaritari,KI,4/11/22 15:14,3.0707,172.7902,79.63,80,76,5.79
75,Vaini,TO,4/11/22 15:14,-21.2,-175.2,77.16,94,100,6.91
76,Solnechnyy,RU,4/11/22 15:14,50.7214,136.6319,24.89,96,88,5.61
77,Hithadhoo,MV,4/11/22 15:14,-0.6,73.0833,84.45,66,22,12.86
78,Nemuro,JP,4/11/22 15:14,43.3236,145.575,38.08,97,100,6.15
79,Dikson,RU,4/11/22 15:14,73.5069,80.5464,0.66,92,90,8.57
80,Saskylakh,RU,4/11/22 15:14,71.9167,114.0833,-10.32,100,96,2.91
81,Bredasdorp,ZA,4/11/22 15:14,-34.5322,20.0403,74.34,53,1,11.39
82,Los Llanos De Aridane,ES,4/11/22 15:14,28.6585,-17.9182,65.95,75,75,11.5
83,Santa Vitoria,BR,4/11/22 15:14,-18.8386,-50.1214,89.06,45,0,3.44
84,Lompoc,US,4/11/22 15:14,34.6391,-120.4579,53.13,84,40,23
85,Anantapur,IN,4/11/22 15:14,14.6833,77.6,94.42,24,93,13.51
86,Tevaitoa,PF,4/11/22 15:14,-16.7833,-151.5,81.25,74,6,14.5
87,Carnarvon,AU,4/11/22 15:15,-24.8667,113.6333,68.07,64,54,11.5
88,Poum,NC,4/11/22 15:15,-20.2333,164.0167,78.82,75,9,9.28
89,Sillod,IN,4/11/22 15:15,20.3,75.65,91.98,18,48,7.94
90,Saint-Pierre,RE,4/11/22 15:15,-21.3393,55.4781,76.91,72,0,21.85
91,Kungurtug,RU,4/11/22 15:15,50.5994,97.5228,17.6,89,52,2.95
92,Geraldton,AU,4/11/22 15:15,-28.7667,114.6,57.61,88,9,5.75
93,Zabid,YE,4/11/22 15:15,14.1951,43.3152,90.07,40,0,14.56
94,Makakilo City,US,4/11/22 15:10,21.3469,-158.0858,72.68,76,0,5.75
95,Asau,RO,4/11/22 15:15,46.4333,26.4,47.95,45,100,8.21
96,Mandalgovi,MN,4/11/22 15:15,45.7625,106.2708,28.76,50,100,6.58
97,Tubuala,PA,4/11/22 15:15,9.5167,-79.0333,81.14,78,100,17.05
98,Klaksvik,FO,4/11/22 15:15,62.2266,-6.589,40.12,71,100,22.97
99,Atar,MR,4/11/22 15:15,20.5169,-13.0499,100.08,5,36,10.78
100,Katsuura,JP,4/11/22 15:15,35.1333,140.3,61.97,88,100,12.55
101,Bluff,NZ,4/11/22 15:15,-46.6,168.3333,49.8,82,100,4.14
102,Puro,PH,4/11/22 15:15,12.4841,123.3827,77.04,94,100,10.4
103,San Ignacio,BZ,4/11/22 15:15,17.1561,-89.0714,80.74,74,40,6.91
104,New Norfolk,AU,4/11/22 15:15,-42.7826,147.0587,49.5,66,52,1.01
105,Portland,US,4/11/22 15:12,45.5234,-122.6762,37.53,93,100,8.05
106,Saldanha,ZA,4/11/22 15:15,-33.0117,17.9442,70.25,53,0,10.6
107,Lipnita,RO,4/11/22 15:15,44.1,27.6,54.16,39,99,15.05
108,Natal,BR,4/11/22 15:15,-5.795,-35.2094,88.02,62,20,14.97
109,Hermanus,ZA,4/11/22 15:15,-34.4187,19.2345,81.81,59,0,3.49
110,Pevek,RU,4/11/22 15:15,69.7008,170.3133,-24.47,100,68,7.87
111,Newcastleton,GB,4/11/22 15:15,55.1796,-2.8127,55.04,64,96,16.69
112,Dudinka,RU,4/11/22 15:15,69.4058,86.1778,-6.11,94,32,6.82
113,East London,ZA,4/11/22 15:11,-33.0153,27.9116,67.98,85,100,19.39
114,Thompson,CA,4/11/22 15:15,55.7435,-97.8558,26.76,80,75,5.75
115,Bolotnoye,RU,4/11/22 15:15,55.6717,84.3981,20.95,93,100,2.24
116,Bloemfontein,ZA,4/11/22 15:15,-29.1211,26.214,60.28,63,40,4.61
117,Kayerkan,RU,4/11/22 15:15,69.3497,87.7602,-7.29,96,6,5.95
118,San Quintin,MX,4/11/22 15:15,30.4833,-115.95,59.4,71,9,3.53
119,Tura,IN,4/11/22 15:15,25.5198,90.2201,72.43,82,0,5.35
120,Arraial Do Cabo,BR,4/11/22 15:15,-22.9661,-42.0278,82.36,65,40,11.5
121,Lorengau,PG,4/11/22 15:15,-2.0226,147.2712,82.31,77,9,11.32
122,Broken Hill,AU,4/11/22 15:15,-31.95,141.4333,68.72,50,0,13.42
123,Faridpur,BD,4/11/22 15:15,23.6,89.8333,85.24,64,6,14.99
124,Mezhdurechensk,RU,4/11/22 15:15,53.6942,88.0603,22.15,95,31,1.77
125,Nelson Bay,AU,4/11/22 15:15,-32.7167,152.15,72,95,29,11.5
126,Mahebourg,MU,4/11/22 15:15,-20.4081,57.7,77.29,83,75,12.66
127,Esperance,AU,4/11/22 15:15,-33.8667,121.9,62.44,93,100,10.56
128,Pilar,BR,4/11/22 15:15,-9.5972,-35.9567,85.93,62,100,5.55
129,Mnogovershinnyy,RU,4/11/22 15:15,53.9353,139.9242,20.93,95,100,8.77
130,Monrovia,LR,4/11/22 15:12,6.3005,-10.7969,85.77,66,91,9.15
131,Aksu,CN,4/11/22 15:15,41.1231,80.2644,69.33,22,100,9.17
132,Melendugno,IT,4/11/22 15:16,40.2747,18.3368,59.09,51,0,16.11
133,Palana,RU,4/11/22 15:16,59.1167,159.9667,10.18,94,100,9.53
134,Iwamizawa,JP,4/11/22 15:16,43.2003,141.7597,51.64,77,79,4.63
135,Waddan,LY,4/11/22 15:16,29.1614,16.139,79.45,22,0,11.23
136,Bambous Virieux,MU,4/11/22 15:16,-20.3428,57.7575,77.25,83,75,12.66
137,Rocha,UY,4/11/22 15:16,-34.4833,-54.3333,68.79,93,100,12.46
138,Cape Town,ZA,4/11/22 15:15,-33.9258,18.4232,81.91,39,0,12.66
